method,test_c_index,test_mean_td_auc,test_ibs,val_c_index,val_mean_td_auc,notes,test_auc_delong,test_auc_ci
Delphi (test),0.6161014918148808,0.5984081261217966,0.18459555926435894,0.6128298748096309,0.5891634152420937,"Coverage: {'expected': 18623, 'available': 18623, 'coverage': 1.0, 'missing_count': 0, 'missing_examples': [], 'missing_predictions': []}",,
Benchmarking (CoxPH),0.6190599010087028,0.599902921075044,0.1409666392596181,0.6187212353100607,0.6014323397736236,"{'baseline_mode': 'all', 'baseline_columns': ['diabetes_t1', 'diabetes_t2', 'diabetes_any', 'ckd', 'migraine', 'systemic_lupus', 'hiv', 'mental_illness', 'cholesterol_disorder', 'depression', 'stroke', 'erectile_dysfunction', 'sex', 'age', 'smoking_status', 'alcohol_status', 'bmi', 'hdl_cholesterol', 'total_cholesterol', 'hba1c', 'alkaline_phosphatase', 'apolipoprotein_a', 'apolipoprotein_b', 'cystatin_c', 'c_reactive_protein', 'igf1', 'lipoprotein_a', 'triglycerides', 'creatinine', 'urea', 'glucose', 'albumin', 'total_protein', 'bilirubin', 'alt', 'haemoglobin', 'mcv', 'living_alone', 'systolic_variation'], 'baseline_coverage': {'train': {'expected': 86911, 'available': 86911, 'coverage': 1.0, 'missing_count': 0, 'missing_examples': []}, 'val': {'expected': 18624, 'available': 18624, 'coverage': 1.0, 'missing_count': 0, 'missing_examples': []}, 'test': {'expected': 18623, 'available': 18623, 'coverage': 1.0, 'missing_count': 0, 'missing_examples': []}}}",,
Text Embedding + CoxPH,0.615635362969261,0.6073831665473985,0.1409136832966197,0.6149388721632022,0.607799051804689,"{'embedding_dir': 'data/preprocessed/embeddings_text', 'embedding_tag': 'patient', 'baseline_mode': 'all', 'baseline_columns': ['diabetes_t1', 'diabetes_t2', 'diabetes_any', 'ckd', 'migraine', 'systemic_lupus', 'hiv', 'mental_illness', 'cholesterol_disorder', 'depression', 'stroke', 'erectile_dysfunction', 'sex', 'age', 'smoking_status', 'alcohol_status', 'bmi', 'hdl_cholesterol', 'total_cholesterol', 'hba1c', 'alkaline_phosphatase', 'apolipoprotein_a', 'apolipoprotein_b', 'cystatin_c', 'c_reactive_protein', 'igf1', 'lipoprotein_a', 'triglycerides', 'creatinine', 'urea', 'glucose', 'albumin', 'total_protein', 'bilirubin', 'alt', 'haemoglobin', 'mcv', 'living_alone', 'systolic_variation'], 'baseline_coverage': {'train': {'expected': 86911, 'available': 86911, 'coverage': 1.0, 'missing_count': 0, 'missing_examples': []}, 'val': {'expected': 18624, 'available': 18624, 'coverage': 1.0, 'missing_count': 0, 'missing_examples': []}, 'test': {'expected': 18623, 'available': 18623, 'coverage': 1.0, 'missing_count': 0, 'missing_examples': []}}, 'embedding_coverage': {'train': {'expected': 86911, 'available': 86911, 'coverage': 1.0, 'missing_count': 0, 'missing_examples': []}, 'val': {'expected': 18624, 'available': 18624, 'coverage': 1.0, 'missing_count': 0, 'missing_examples': []}, 'test': {'expected': 18623, 'available': 18623, 'coverage': 1.0, 'missing_count': 0, 'missing_examples': []}}}",,
Trajectory Embedding + CoxPH,0.623758758829731,0.6000696635132844,0.14096664153398014,0.6228400925900484,0.6000236918850702,"{'embedding_dir': 'data/preprocessed/embeddings_traj', 'embedding_tag': 'trajectory', 'baseline_mode': 'all', 'baseline_columns': ['diabetes_t1', 'diabetes_t2', 'diabetes_any', 'ckd', 'migraine', 'systemic_lupus', 'hiv', 'mental_illness', 'cholesterol_disorder', 'depression', 'stroke', 'erectile_dysfunction', 'sex', 'age', 'smoking_status', 'alcohol_status', 'bmi', 'hdl_cholesterol', 'total_cholesterol', 'hba1c', 'alkaline_phosphatase', 'apolipoprotein_a', 'apolipoprotein_b', 'cystatin_c', 'c_reactive_protein', 'igf1', 'lipoprotein_a', 'triglycerides', 'creatinine', 'urea', 'glucose', 'albumin', 'total_protein', 'bilirubin', 'alt', 'haemoglobin', 'mcv', 'living_alone', 'systolic_variation'], 'baseline_coverage': {'train': {'expected': 86911, 'available': 86911, 'coverage': 1.0, 'missing_count': 0, 'missing_examples': []}, 'val': {'expected': 18624, 'available': 18624, 'coverage': 1.0, 'missing_count': 0, 'missing_examples': []}, 'test': {'expected': 18623, 'available': 18623, 'coverage': 1.0, 'missing_count': 0, 'missing_examples': []}}, 'embedding_coverage': {'train': {'expected': 86911, 'available': 86911, 'coverage': 1.0, 'missing_count': 0, 'missing_examples': []}, 'val': {'expected': 18624, 'available': 18624, 'coverage': 1.0, 'missing_count': 0, 'missing_examples': []}, 'test': {'expected': 18623, 'available': 18623, 'coverage': 1.0, 'missing_count': 0, 'missing_examples': []}}}",,
S3 · Qwen3-8B · concat,0.6155705183489191,0.6072905782756868,0.14091381549556392,0.6149386689294443,0.6078023901128475,fusion=concat emb=./data/preprocessed/embeddings_qwen_text,,
S3 · Qwen3-8B · sum,0.5874942240331402,0.5813350842435051,0.1420772396100281,0.5890574189020077,0.58249762467017,fusion=sum emb=./data/preprocessed/embeddings_qwen_text,,
S3 · BCB · concat,0.6225100916378304,0.6013810892391125,0.1409666360909516,0.6222495156126612,0.6031527600460194,fusion=concat emb=/Users/finleyyu/Desktop/research/disease prediction/data/preprocessed/embeddings_bcb_text,,
S3 · BCB · sum,0.5844280264195628,0.5818711206524421,0.14163061290000112,0.5850109738099972,0.582771784742078,fusion=sum emb=/Users/finleyyu/Desktop/research/disease prediction/data/preprocessed/embeddings_bcb_text,,
S4 · Qwen3-8B · concat,0.6233442865688208,0.5991177123691036,0.14096664174965332,0.6226275507259266,0.599941570777587,fusion=concat emb=data/preprocessed/embeddings_qwen_traj,,
S4 · Qwen3-8B · sum,0.5842173899256885,0.5757050550093435,0.14168295989280708,0.5789421292687015,0.5714648125768572,fusion=sum emb=data/preprocessed/embeddings_qwen_traj,,
S4 · BCB · concat,0.6232139772010697,0.6025282923407786,0.14096663511708615,0.622318513473504,0.6029240851100787,fusion=concat emb=data/preprocessed/embeddings_bcb_traj,,
S4 · BCB · sum,0.5955001058143486,0.586818838656891,0.1413439630397817,0.5900098739088989,0.5829243083838537,fusion=sum emb=data/preprocessed/embeddings_bcb_traj,,
S5 · Qwen3-8B,0.6194665700040155,0.6127694292478868,0.14081093929838406,0.6149822219237847,0.6089883574727908,fusion=concat emb=./data/preprocessed/embeddings_qwen_summary,,
S5 · BCB,0.6370971546048301,0.5074276990838164,0.14295717108578615,0.6358761358531502,0.5054885202854983,fusion=concat emb=/Users/finleyyu/Desktop/research/disease prediction/data/preprocessed/embeddings_bcb_summary,,
